Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,PrimeCorp-Fire Alarm,19-1189JP,AI,,,,2021-04-01,04/01/2019,2021-03-31,,,,1425.0,,,,,FA,61 McEwen Avenue - McEwen Towers,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,PrimeCorp-Route,19-1189JP,AI,,,,2021-04-01,04/01/2019,2021-03-31,,,,1425.0,,,,,"EL,FHC",61 McEwen Avenue - McEwen Towers,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Gold Key Management Corporation-Route,17-1193JP,AI,,NA,,,,,,,,495.0,,,,,"FE,EL",376-380 Crete Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Prime Corp.-Fire Alarm,20-1001JP,AI,,NA,,2021-01-01,01/01/2020,2020-12-31,,,,556.0,,,,,"FA,EOL",362 McArthur Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Prime Corp.-Route,20-1001JP,AI,,NA,,2021-01-01,01/01/2020,2020-12-31,,,,556.0,,,,,EL,362 McArthur Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspiration House (Groupe Lepine c/o Sussex House)-Sprinkler,11-1105,AI,,NA,,,,,,,,1340.0,,,,,"SPR,WET,GLYCOL",22 Murray Street - Sussex House,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspiration House (Groupe Lepine c/o Sussex House)-Fire Alarm,11-1105,AI,,NA,,,,,,,,1340.0,,,,,FA,22 Murray Street - Sussex House,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspiration House (Groupe Lepine c/o Sussex House)-Route,11-1105,AI,,NA,,,,,,,,1340.0,,,,,FHC,22 Murray Street - Sussex House,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Sprinkler,20-1331MM,AI,,100013.0,,2021-05-01,05/01/2020,2021-04-30,,,,1545.0,,,,,"HYD,SPR,WET,GLYCOL",750 Palladium Dr.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Fire Alarm,20-1331MM,AI,,100013.0,,2021-05-01,05/01/2020,2021-04-30,,,,1545.0,,,,,FA,750 Palladium Dr.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Route,20-1331MM,AI,,100013.0,,2021-05-01,05/01/2020,2021-04-30,,,,1545.0,,,,,"FE,EL",750 Palladium Dr.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Sprinkler,20-1331MM,AI,,100013.0,,2021-05-01,05/01/2020,2021-04-30,,,,1545.0,,,,,"SPR,WET,GLYCOL",700 Palladium Dr Phase I,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Fire Alarm,20-1331MM,AI,,100013.0,,2021-05-01,05/01/2020,2021-04-30,,,,1545.0,,,,,FA,700 Palladium Dr Phase I,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Route,20-1331MM,AI,,100013.0,,2021-05-01,05/01/2020,2021-04-30,,,,1545.0,,,,,"FE,EL",700 Palladium Dr Phase I,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Sprinkler,20-1331MM,AI,,100013.0,,2021-05-01,05/01/2020,2021-04-30,,,,1545.0,,,,,"HYD,SPR,WET,GLYCOL",770 Palladium Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Fire Alarm,20-1331MM,AI,,100013.0,,2021-05-01,05/01/2020,2021-04-30,,,,1545.0,,,,,FA,770 Palladium Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Cominar REIT-Route,20-1331MM,AI,,100013.0,,2021-05-01,05/01/2020,2021-04-30,,,,1545.0,,,,,"FE,EL,FHC",770 Palladium Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Sprinkler,15-1041MT,AI,,NA,,,,,,,,3550.0,,,,,"SPR,WET",240/250/260 Centrum Blvd/3095 St. Joseph,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Fire Alarm,15-1041MT,AI,,NA,,,,,,,,3550.0,,,,,FA,240/250/260 Centrum Blvd/3095 St. Joseph,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Route,15-1041MT,AI,,NA,,,,,,,,3550.0,,,,,"EL,FHC",240/250/260 Centrum Blvd/3095 St. Joseph,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Fire Alarm,18-1286JP,AI,,NA,,,,,,,,655.0,,,,,FA,"120 Promenade du Portage, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Route,18-1286JP,AI,,NA,,,,,,,,655.0,,,,,EL,"120 Promenade du Portage, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Monitoring,18-1286JP,AI,,NA,,,,,,,,655.0,,,,,FIRE,"120 Promenade du Portage, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canderel Management Inc. (in trust for Albert & Bank Equities Inc. and Parkgreen LP)-Sprinkler,20-1375JD,AI,,NA,,,,,,,,6525.0,,,,,"FP,SPR,WET,DRY",250 Albert Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canderel Management Inc. (in trust for Albert & Bank Equities Inc. and Parkgreen LP)-Fire Alarm,20-1375JD,AI,,NA,,,,,,,,6525.0,,,,,"FA,VOICE",250 Albert Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canderel Management Inc. (in trust for Albert & Bank Equities Inc. and Parkgreen LP)-Route,20-1375JD,AI,,NA,,,,,,,,6525.0,,,,,"FE,EL,FHC",250 Albert Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Agropur, Division Natrel-Sprinkler",10-1363,AI,,NA,,,,,,,,1880.0,,,,,"HYD,SPR,WET,DRY",1001 Dairy Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Agropur, Division Natrel-Fire Alarm",10-1363,AI,,NA,,,,,,,,1880.0,,,,,FA,1001 Dairy Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Agropur, Division Natrel-Route",10-1363,AI,,NA,,,,,,,,1880.0,,,,,"EL,FHC",1001 Dairy Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Uniform Developments and Leasing Ltd.-Sprinkler,14-1225,AI,,NA,,,,,,,,520.0,,,,,SPR,151 Bentley Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Uniform Developments and Leasing Ltd.-Route,14-1225,AI,,NA,,,,,,,,520.0,,,,,EL,151 Bentley Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,SNC Lavalin O&M Inc.-Inergen System,12-1310,AI,,NA,,,,,,,,3980.0,,,,,,"Jeanne Mance Bldg, 12th Fl., Secur Data Panel",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,9197397 Canada Inc. c/o Epic Realty Partners (Ottawa) Inc.-Sprinkler,16-1001MT,AI,,NA,,,,,,,,1940.0,,,,,"FP,HYD,SPR,WET",2204 Walkley Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,9197397 Canada Inc. c/o Epic Realty Partners (Ottawa) Inc.-Fire Alarm,16-1001MT,AI,,NA,,,,,,,,1940.0,,,,,FA,2204 Walkley Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,9197397 Canada Inc. c/o Epic Realty Partners (Ottawa) Inc.-Route,16-1001MT,AI,,NA,,,,,,,,1940.0,,,,,"FE,EL,FHC",2204 Walkley Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,British High Commission-Monitoring Services  Fire,13-1008RS,MONITORING,,NA,,2021-02-01,02/01/2013,2021-01-31,,,,960.0,,,,,,140 Sussex Drive Commisioner Residence,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Sprinkler,19-1427JP,AI,,NA,,2021-05-01,05/01/2019,2021-04-30,,,,2040.0,,,,,"HYD,SPR,WET",1705-17 1719-49 St. Laurent AND 2220-34 Gladwin,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Route,19-1427JP,AI,,NA,,2021-05-01,05/01/2019,2021-04-30,,,,2040.0,,,,,"FE,EL",1705-17 1719-49 St. Laurent AND 2220-34 Gladwin,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Monitoring,19-1427JP,AI,,NA,,2021-05-01,05/01/2019,2021-04-30,,,,2040.0,,,,,FIRE,1705-17 1719-49 St. Laurent AND 2220-34 Gladwin,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canadian Bank Note Company Limited-Fire Alarm,18-1696BS,AI,,NA,,2021-11-01,11/01/2018,2021-10-31,,,,0.0,,,,,"FA,CO,VOICE",145 Richmond Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canadian Bank Note Company Limited-Route,18-1696BS,AI,,NA,,2021-11-01,11/01/2018,2021-10-31,,,,0.0,,,,,"FHC,FLCS,EXT",145 Richmond Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Heritage College-Sprinkler,18-1000BS,AI,,NA,,,,,,,,0.0,,,,,"HYD,BF,SPR,WET,GLYCOL","325 Cité des Jeunes, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Heritage College-Fire Alarm,18-1000BS,AI,,NA,,,,,,,,0.0,,,,,FA,"325 Cité des Jeunes, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Heritage College-Route,18-1000BS,AI,,NA,,,,,,,,0.0,,,,,FLCS,"325 Cité des Jeunes, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Heritage College-Route,18-1000BS,AI,,NA,,,,,,,,0.0,,,,,FHC,"325 Cité des Jeunes, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade BridgePort-Sprinkler,Tender-19-1140,AI,,100303.0,,2021-07-01,07/01/2019,2021-06-30,,,,0.0,,,,,"HYD,SPR,WET",450 March Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade BridgePort-Fire Alarm,Tender-19-1140,AI,,100303.0,,2021-07-01,07/01/2019,2021-06-30,,,,0.0,,,,,FA,450 March Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade BridgePort-Route,Tender-19-1140,AI,,100303.0,,2021-07-01,07/01/2019,2021-06-30,,,,0.0,,,,,"FE,EL,FHC",450 March Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Richmond Heights Apartments-Monitoring Services  Fire DVAC,05-1436,MONITORING,,100201.0,,2021-11-01,11/01/2005,2021-10-31,,,,816.0,,,,,,2841 Richmond Road - Richmond Height Apts,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Export Development Canada-Route,11-1153,SAI,,NA,,,,,,,,2985.0,,,,,FE,151 O'Connor/251 Laurier,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Maxville Manor-KitcHen system inspection by otHers,18-1545JP-REV,SAI,,NA,,,,,,,,0.0,,,,,,"80 Mechanic Street East, Maxville",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Sprinkler,19-1255JP,AI,,,,,,,,,,160.0,,,,,"SPR,WET",8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Fire Alarm,19-1255JP,AI,,,,,,,,,,160.0,,,,,FA,8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Route,19-1255JP,AI,,,,,,,,,,160.0,,,,,"FE,EL",8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Sprinkler,19-1255JP,MI,,,,,,,,,,160.0,,,,,"SPR,WET",8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Fire Alarm,19-1255JP,MI,,,,,,,,,,160.0,,,,,FA,8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Route,19-1255JP,MI,,,,,,,,,,160.0,,,,,"FE,EL",8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Fire Alarm,19-1255JP,AI,,NA,,,,,,,,160.0,,,,,FA,20 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Route,19-1255JP,AI,,NA,,,,,,,,160.0,,,,,EL,20 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Fire Alarm,19-1255JP,MI,,NA,,2021-01-01,01/01/2019,2020-12-31,,,,160.0,,,,,FA,20 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Route,19-1255JP,MI,,NA,,2021-01-01,01/01/2019,2020-12-31,,,,160.0,,,,,EL,20 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Sprinkler,09-1100-REV,MI,,NA,,2021-01-01,01/01/2009,2020-12-31,,,,0.0,,,,,"SPR,WET",495 March Road - KNTP Phase IV,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Fire Alarm,09-1100-REV,MI,,NA,,2021-01-01,01/01/2009,2020-12-31,,,,0.0,,,,,FA,495 March Road - KNTP Phase IV,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Route,09-1100-REV,MI,,NA,,2021-01-01,01/01/2009,2020-12-31,,,,0.0,,,,,"EL,FHC,EXT",495 March Road - KNTP Phase IV,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Sprinkler,09-1100-REV,MI,,NA,,,,,,,,0.0,,,,,WET,40 Hines Road - KNTP Phase V,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Fire Alarm,09-1100-REV,MI,,NA,,,,,,,,0.0,,,,,FA,40 Hines Road - KNTP Phase V,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Route,09-1100-REV,MI,,NA,,,,,,,,0.0,,,,,"EL,FHC,EXT",40 Hines Road - KNTP Phase V,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Sprinkler,09-1100-REV,MI,,NA,,2021-01-01,01/01/2009,2020-12-31,,,,0.0,,,,,"SPR,WET",80 Hines Road - KNTP Phase III,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Fire Alarm,09-1100-REV,MI,,NA,,2021-01-01,01/01/2009,2020-12-31,,,,0.0,,,,,FA,80 Hines Road - KNTP Phase III,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Route,09-1100-REV,MI,,NA,,2021-01-01,01/01/2009,2020-12-31,,,,0.0,,,,,"EL,FHC,EXT",80 Hines Road - KNTP Phase III,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Sprinkler,Tender,AI,,NA,,,,,,,,0.0,,,,,"SPR,WET",31 Auriga Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade Management Inc.-Fire Alarm,Tender,AI,,NA,,,,,,,,0.0,,,,,FA,31 Auriga Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
