ID,Legal Company Name,Local Address,Contact,Phone,Ext.,Fax,Cell,Email,Web page,SO#,Billing Address,City,Province,Postal Code,PO#,Site Address,CustomerCode,LocationCode,IsActive,Site Contact,Phone,Pager,Inspection Type,Price,Inspection Month,Inspection Quote #,Deficiency Quote #,Fire Protection Equipment,eftemp,Remarks,Field1,Field2
1857,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER,111 Cooper Street,Safae McLellan (May 2019),(613) 912-9800,,,(613) 762-6676,smclellan@1eleven.ca,,,111 Cooper Street,Ottawa,Ontario,K2P 2E3,,111 Cooper Street,,,TRUE,Khim Aranas,,,AI,"$7,260.00",,19-1401,,"FA, EOL's (behind MPS), Voice, 4"" Wet Spr x 1, FPT x 2 (spr has header-electrn reqd, stdp off roof-elect not reqd), FHC, and FE (No Backflow Preventer) (LSA's not included)","FOLLOW SCHEDULE. Elevator and hydro,  ALSO REVISE MI COSTS. Require access to apts for bells and sprinkler heads. FOR 2020-REVISE $ TO INCLUDE AI OF LSA'S.","2017-KS/NW4days, 2018-KV/NW-6 days to access 224 apts, sens and isolators.Cancelled January 7th 2020",,
518,CR4 Ottawa Flex Office Inc c/o Colliers International,930-340 Albert Street,Oryst Deneka/Kate Collins,(613) 683-2223,,,,,,,"181 Bay St, Suite 1400",Toronto,Ontario,M4W 1E5,,1140 Morrison Dr,,,FALSE,Eric Thouin,,,AI,$142.00,,19-1255JP,,"Wet 8"" x 1, E/L, Exit Signs, F/E","2018-JF/TO-7hrs, 2019-SR/AB-8hrs and TP for 2hrs. Hydro Vault access reqd. No Bells. Raise 3% each year.","12 monthly equal payments - 2018-$138ea, 2019-$142 ea.",,
29,Uniform Developments and Leasing Ltd.,"300-117 Centrepointe Drive, Ottawa, Ontario, K2G 5X3",Leonard Patter,(613) 225-0770,234,(613) 723-1675,,,,,300-117 Centrepointe Drive,Ottawa,Ontario,K2G 5X3,,117 Centrepointe Drive,,,FALSE,Leonard Patter,(613) 225-0770,,AI,$750.00,,14-1225,,"F/A, EOL's, 4"" Wet Sprklr, Glycol Loop, E/L, Ext","Bells at 230PM. Schedule on a Friday. Elevator shaft (Otis Elevator) & glycol loop that feeds (2) heads in gar. Rooms. No hydro vault. Do not test audibles before 9am as tenants not open. 2007-2 guys, 7 hrs.","See 2012 FA def's notes for renewal letter ..MT  .NOTIFY UNIFORM BEFORE BELL TEST-UNLOCK ALL DOORS. 2005 and 2006-$545, 2007-$585, 2008-$645, 2009 & 2010-$690, 2011 and 2012-$720, 2013-$750.",,
1191,Paramount Properties,1401 Prince of Wales Drive,Eric Poirier,,,,(613) 299-4943,,,,1401 Prince of Wales Drive,Ottawa,Ontario,K2C 3J8,,1177 Cummings Avenue,,,FALSE,Linda Hearn,(613) 746-2421,,AI,$580.00,,14-1775RS,,"FA, EOL's, Wet Spr, ELU and FE","1st time for Oz in 2011-2 techs, 4.5 hrs. SEND NOTICE. 2014 repairs not completed-Paramount didn't call in Vigilant to program.",epoirier@paramountapts.com; cyrville@paramountapts.com,,
923,Grimes Realty Co. Ltd.,"#201-2460 Lancaster Road, Ottawa, Ontario K1B 4S5",Jim Grimes/Brenda,(613) 733-8222,,(613) 733-9685,,,,,201-2460 Lancaster Road,Ottawa,Ontario,,,1192-1218 Bank Street,,,FALSE,Dave Brady,(613) 261-3614,,AI,$620.00,,13-1366,,"FA, EOL's, LSA's, FE (SA in 4 apt's on the 2nd fl battery operated) Inspection to be conducted after 1pm when all stores are opened schedule time 2hrs only",,"2012-1 tech, 4 hours. 2010, 11 and 2012-$580, 2013-$620.",,
112,Calfra Management Limited,"226-1725 St. Laurent Blvd., Ottawa, Ontario K1G 3V4",Justin Lamarche,(613) 247-2235,224,(613) 247-2236,(613) 798-6226,,,,227-1725 St. Laurent Blvd,Ottawa,Ontario,K1V 3V4,,"120 Promenade du Portage, Hull",,,FALSE,Justin Lamarche,(613) 247-2235,,AI,$655.00,,18-1286JP,,"F/A, E/L, Ext AND FIRE DRILL","SOLD APR 2018. ADD $275 FOR FIRE DRILL. STORES OPEN AT 10AM. Office bldg. 2014-2 techs, 5hrs, 2015 and 2016 -2 techs (JF/Adr), 4hrs, 2017-cancelled twice. LEAVE IN MAY, DON'T MOVE.","2014 and 2015-$595,2016 and 2017-$625, 2018-$655. Justin Lamarche replaces Dave as of Nov 2018.",,
1451,City of Cornwall,,,,,,,,,,"Accounts Payable, PO Box 216",Cornwall,Ontario,K6H 5T9,,"1225 Ontario Street, Municipal Works",,,FALSE,,,,MONITORING,$204.00,,,,Monitoring Services - Fire,"LOST FEB 2017.May 1, 20?? To Apr 30, 20??. AI not required. 2 year contract May 1/14 to Apr 30/16 with 1 option year.",Account #38-01-5221,,
1454,City of Cornwall,,,,,,,,,,"Accounts Payable, PO Box 216",Cornwall,Ontario,K6H 5T9,,"1246 Ontario Street, Purchasing",,,FALSE,,,,MONITORING,$204.00,,,,Monitoring Services - Fire,"LOST FEB 2017.May 1, 20?? To Apr 30, 20??. AI not required. 2 year contract May 1/14 to Apr 30/16 with 1 option year.",Account #38-01-5244,,
1121,BGIS,,,,,,,,,,,,,,,"125 Sussex Dr, 2nd Floor,TwrA, ISIC Room (Global A",,,FALSE,Jacques Boisvert,,,SAI,"$1,387.20",,17-1339JP OR 17-1569-REV,,Preaction System,"ALWAYS DO 1ST-TENANT REP REQD W/CODE FOR UNICAM LOCK. 1 TS guard,hot work permit. 2011 and 2013-2 guys, 2.5 hrs, 2016-3 techs,2hrs. 530PM start. Escort reqd to be organized By BGIS, need 3 days notice, 2017-RE/AM/CL-3hrs.","2014, 2015 AND 2016-$1360 ea, 2017-$1387.20 each.",,
1193,BGIS,,,,,,,,,,,,,,,"125 Sussex Dr, 2nd Floor,TwrA, ISIC Room (Global A",,,FALSE,Jacques Boisvert,,,AI,"$3,162.00",,17-1569-REV,,Preaction System,"LOST APR 2018.DO 1ST-TENANT REP REQD W/CODE FOR UNICAM LOCK. 1 TS guard, hot work permit.  2011-2 guys, 2 hrs. 530PM start. Escort required to be organized by BGIS, need 3 days notice. 2014-3 Techs, 2.5hrs, 2016-3T, 3hrs (CL/AM/RE), 2017-KS/RE/CL/PI-2hrs.","2014, 2015 AND 2016-$1360 ea, 2017-$1387.20 each.",,
1915,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, A9",,,TRUE,Jacques Boisvert,,,SAI,$453.65,,17-1571,,FLCS x 1 (A9 only),LOST APR 2018. Invoice each inspection separately. Schedule with base bldg FLCS x 3. COST INCLUDES LINKS-DO NOT INVOICE EXTRA.,,,
1914,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, A9",,,TRUE,Jacques Boisvert,,,AI,$453.65,,17-1571,,FLCS x 1 (A9 only),LOST APR 2018. Invoice each inspection separately. Schedule with base bldg FLCS x 3. COST INCLUDES LINKS-DO NOT INVOICE EXTRA.,,,
954,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, AG Server Rooms-Qty 20 (Shared S",,,FALSE,Jacques Boisvert,,,AI,"$3,162.00",,17-1340JP,,Preaction System,"LOST APR 2018. 2014-4 techs, 4hrs., 4 techs, 5hrs on Saturday, 2016-4T, 4hrs but not complete, 2017-5T, 4hrs. Remind Ross,Kim &Shawn 2 guards (NEED TS) and hot work permit reqd.Need 3 days notice. Email Shawn/Jack/Kimberley DiPenta-keep them in loop,","2014, 2015 and 2016-$3100 ea, 2017-$3,162 each.",,
953,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, AG Server Rooms-Qty 20 (Shared S",,,FALSE,Jacques Boisvert,,,SAI,"$3,162.00",,17-1340JP,,Preaction System,"LOST APR 2018. Remind Jack/Kim/Shawn hot work permit reqd and 1 TS Guard. For SAI, no access to AG Area reqd, just Mech Rm. 2014-3 techs, 4hrs, 2016-4 techs, 2hrs, 2017-RE/AM/CL-4hrs.","2014, 2015 and 2016-$3100 ea, 2017-$3,162 each.",,
933,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, Cafeteria",,,FALSE,Kimberley DiPenta,,,SAI,,,17-1342JP,,FLCS x 3 (Cafeteria only),"LOST APR 2018. 6:15PM start, Cost included in AI in June, don't bill. 2016-AM, 4hrs. COST INCLUDES LINKS-DO NOT INVOICE EXTRA.",PO 5522065 valid Apr 1/17 to Mar 31/18.,,
932,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, Cafeteria",,,FALSE,Kimberley DiPenta,,,AI,"$3,025.90",,17-1342JP,,FLCS x 3 (Cafeteria only),LOST APR 2018. 6:15PM start. Cost includes AI and SAI. COST INCLUDES LINKS-DO NOT INVOICE EXTRA.,PO 5522065 valid Apr 1/17 to Mar 31/18.,,
1195,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, EWRC, Library (Global Affairs)",,,FALSE,Jacques Boisvert,,,AI,"$1,407.60",,17-1570-REV,,Preaction System,"LOST APR 2018. Remind Jack 2 TS guard&hot work permit. Email Shawn and Kimberley DiPenta-keep them in loop. Feb 2014-4 techs, 3hrs, Nov 2014-3 techs, 2.5hrs, 2016 and 2017-4T, 2hrs. Rm B1-305 attached to EWRC with SD's (2 ceiling, 2 under floor or more.).","2012 AI-3 techs, 3hrs, 6PM start. 2014, 2015 and 2016-$1380 ea, 2017-$1,407.60 each",,
1194,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, EWRC, Library (Global Affairs)",,,FALSE,Jacques Boisvert,,,SAI,"$1,407.60",,17-1570-REV,,Preaction System,"LOST APR 2018. Remind Jack/Kim and Shawn 2 TS guard and hot work permit reqd. Email Shawn and Kimberley DiPenta-keep them in loop. Mar 2013-3 techs, 3 hrs, June 2017-RE/AM/CL-2hrs.","2014, 2015 and 2016-$1380 ea, 2017-$1,407.60 each.",,
1773,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, Lester B. Pearson Bldg.",,,FALSE,Shawn Findlay,,,AI,$0.00,,14-1045,,FPFT x 2,LOST APR 2018. FP to be done on weekend or at nights-changed to Oct per BJC work order. KD-Invoice FP and Spr in Oct.,"Electrician not reqd-digital display. Bring cones to direct traffic away from water, floods Sussex. PO 5515796 valid Oct1/16 to Mar 31/17.",,
1207,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, Lester B. Pearson Bldg.",,,FALSE,Shawn Findlay,,,AI,$388.00,,14-1045,,Hydrants,LOST APR 2018. Do in Spring. - Qty 2,PO 5522065 valid Apr 1/17 to Mar 31/18-$193.80 EACH,,
687,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, Lester B. Pearson Bldg.",,,FALSE,Shawn Findlay,,,AI,"$5,701.80",,14-1045,,Spr,"LOST APR 2018. 2016 (AM/CL) Spr only - 3 techs, 3 nights, 2nd night for secure areas-see email. FP to be done on weekend or at nights-changed to Oct per BJC work order. ALL INVOICED IN OCT WITH FP AI'S. AI MOVED TO OCT BY SHAWN MAR2017.",PO 5522065 valid Apr 1/17 to Mar 31/18-$5701.80,,
1613,BGIS,,,,,,,,,,,,,,,"125 Sussex Drive, Lester B. Pearson Bldg.",,,FALSE,Kimberley Dipenta,,,AI,"$2,550.00",,17-1013,,FHC and FE,"LOST APR 2018. Send quote to Kimberley, not Shawn. Takes longer than usual due to access/locked areas, keys reqd. 1st time in 2015-1 tech, 5 days (FD), 2016-KS did in 3 days. MUST BE COMPLETE BEFORE MARCH 1.","2014 and 2015-$2450, 2016 and 2017-$2550. PO 5522065 valid Apr 1/17 to Mar 31/18.",,
1805,Skyline Commercial Real Estate Holdings Inc.,"1655 Russell Road, Suite 200",Cassandra Wallingford,(613) 249-9696,,,,,,,"1655 Russell Road, Suite 200",Ottawa,Ontario,K1G 0N1,,1283 Algoma Road,,,TRUE,John Reside,,,AI,$0.00,,,,"FA, Spr",INSPECTED BY OTHERS PER JENNIFER PATTON. New Notifier NFS-320C FACP installed in Jan 2016 by GS. Send a quote for AI??. AI/VI in 2016 AI folder for device count.,,,
950,Morguard Investments Limited,"402-350 Sparks Street, Ottawa, Ontario  K1R 7S8",Rolly Cousineau,(613) 237-6373,,(613) 237-0007,,,,,"350 Sparks, Suite 402",Ottawa,Ontario,K1R 7S8,,131 Queen Street,,,FALSE,Stephane Robert,(613) 232-6662,,AI,"$12,900.00",,15-1097,,"FA, Voice, Wet and Dry Spr, Glycol, FPFT x 2, FHC, FE","LOST IN 2011 TO LOWEST BIDDER. 1st time in 2010. FOLLOW AI SCHEDULE IN AI FILE. Night Work-6PM to 2AM. 2010-3 guys, 5 nights. Apts on Saturday. 2013-chubb bid was $10,500.","Morguard needs 10 days notice to organize. Need electrn to test phase reversal, night work.  2010-$14,400, 2011-$14,650, 2012-$17,650.",,
2346,111007 Inc.,Denise,Diane Noseworthy,(613) 738-1961,,,,,,,1379 Bank Street,Ottawa,Ontario,,,1379 Bank Street,,,TRUE,Diane Noseworthy,(613) 738-1961,,AI,$465.00,,20-1379MT,,"FA, 4"" Wet Spr x 1, ELU and FE","Allard 2017-$398, 2018 and 2019-$419. No AI in 2019. commercial building with attached parking garage. ortho1379@gmail.com",Cancelled May 2020,,
476,BLJC c/o CPC Contract,"PO Box 4830, 7400 Birchmount Road",Bernie Potvin,(819) 778-5285,22,(819) 778-2480,(613) 863-7913,,,,,,,,,"139, rue Racine, PO Gatineau",,,FALSE,,(819) 663-1039,(819) 663-5882,AI,$375.00,,07-1006,,"F/A, FHC, E/L, Ext.",,CANCELLED BY MICHAEL RICCUTTO MAY 2009.,,
2167,Huntington Properties (Cyrville Property LP),"1306 Wellington Street, Suite 200",Nick Thuswaldner,(613) 592-1818,,,(613) 462-5828,,,,"1306 Wellington Street, Suite 200",Ottawa,Ontario,K1Y 3B2,,1392 Cyrville  Road,,,TRUE,Nick Thuswaldner,(613) 592-1818,,QI,$177.00,,"Oct 5, 2018",,"6"" Wet Spr x 1 only Cancelled Feb 2020","PO #74 valid for contract Jan 1, 2019 to JAN 31, 2019. AI in February, QI's in May, Aug and Nov.",,,
2166,Huntington Properties (Cyrville Property LP),"1306 Wellington Street, Suite 200",Nick Thuswaldner,(613) 592-1818,,,(613) 462-5828,,,,"1306 Wellington Street, Suite 200",Ottawa,Ontario,K1Y 3B2,,1392 Cyrville  Road,,,TRUE,Nick Thuswaldner,(613) 592-1818,,AI,"$1,090.00",,"Oct 5, 2018",,"FA, 6"" Wet x 1, Hyd x 1, ELU and FE Cancelled Feb 2020","PO #74 valid for contract Jan 1, 2019 to JAN 31, 2019.",,,
1898,Greenboro Day Care Centre,1400 Cahill Drive,Kari Dailey,(613) 526-3203,,,,,,,1400 Cahill Drive,Ottawa,Ontario,K1T 2Y9,,1400 Cahill Drive,,,TRUE,Kari Dailey/Donna Mooney,(613) 526-3203,,SAI,$285.00,,18-1048JP,,FLCS,LOST IN 2018. After 2PM. Grbo.supervisor@cbcel.ca. 2017 and 2018-$285.,,,
1897,Greenboro Day Care Centre,1400 Cahill Drive,Kari Dailey,(613) 526-3203,,,,,,,1400 Cahill Drive,Ottawa,Ontario,K1T 2Y9,,1400 Cahill Drive,,,TRUE,Kari Dailey/Donna Mooney,(613) 526-3203,,AI,$620.00,,18-1048JP,,"FA, EOL's, FLCS, ELU and FE","LOST IN 2018. 1st time in 2017-2T, 7hrs (BI/AM). Grbo.supervisor@cbcel.ca. No elevator or hydro",2017 and 2018-$620.,,
894,Commerical Life Safety,1413 Baintree Place,,(613) 762-0363,,,(613) 762-0363,,,,1413 Baintree Place,Ottawa,Ontario,K1B 5H5,Verbal Quote JL,1400 St. Laurent,,,FALSE,Eric Papineau,(613) 842-8202,,AI,"$2,040.00",,10-1064,,"FA, Wet 4"" Spr x 1, FPT with Header, FHC, EL, FE","2010-LOST TO ? Verbal quote issued by JL. 1st time in 2009-2 guys, 1 day and 1 guy, 1 day, Bells are to be rung during the day floor by floor.","clsi@videotron.ca. 2009-$1200, 2010-$2040. epapineau@morguard.com",,
812,Brookfield Lepage Johnson Controls,1424 Sandford Fleming Ave,Leonard Patter,(613) 521-0865,224,(613) 521-2620,(613) 266-5943,,,,1424 Sandford Fleming Ave,Ottawa,Ontario,,,141 Colonnade,,,FALSE,Ernesto,(613) 864-1593,,AI,"$5,970.00",,10-1025,,"FA, Preaction, EPOx2, ELU, FE","Weekend only 2 insps 2 days. Elevators, Bells on 2nd day at 9AM. Call centre on site. Bypass EPO prior to starting AI, EPO at Electrical Room, Call JL or BS. 2009-1st day, 2 guys, 8 hrs and 2nd day-2 guy, 5.5 hrs. Elevator Shaft.","2008 and 2009-$5800, 2010-$5970.",,
1125,Canadian Bank Note Company Limited,"145 Richmond Road, Ottawa, Ontario K1Z 1A1",Jeff McDonald,,,(613) 722-8299,(613) 790-8538,,,,145 Richmond Road,Ottawa,Ontario,K1Z 1A1,,145 Richmond Road,,,FALSE,Jeff McDonald,,,SAI,$0.00,,18-1696BS,,FLCS x 1 Only,LOST TO VIKING MAR 2019-3YR CONTRACTNO RESPONSE IN 2018. Incl. in AI price. Sept  2015-Pyromatech installed nozzles and new piping.,MUST BRING POLICE CHECK TO ACCESS BLDG. CHARGE COST BACK TO CBN.,,
909,Holy Spirit Church,1489 Shea Road,Richard Leger,(613) 836-8881,,(613) 836-8806,,,,,1489 Shea Road,Ottawa,Ontario,K2S 0G5,,1489 Shea Road,,,FALSE,Richard Leger,(613) 836-8881,,AI,$390.00,,14-1234BS,,FA,"2009-2 techs, 3.5 hrs, 930AM or 1PM start(mass ends at 930AM). 40' high access, 2 extension poles or conduit with can of smoke or magnet taped to it. FE's inspected in 2010, include in 2011 quote. 2012-Richard to inspect ELUand FE's. 2014-$390.",Never on a Wednesday. admin@holyspiritparish.ca,,
127,Uniform Developments and Leasing Ltd.,"300-117 Centrepointe Drive, Ottawa, Ontario, K2G 5X3",Leonard Patter,(613) 225-0770,234,(613) 723-1675,,,,,300-117 Centrepointe Drive,Ottawa,Ontario,K2G 5X3,,151 Bentley Avenue,,,FALSE,Leonard Patter,(613) 225-0770,,AI,$520.00,,14-1225,,"8"" Sprklr x 1, E/L, Ext","Call a day in advance to have a rep. from Uniform let us in - give 1 week notice - ensure govt is aware of testing for sprklr system. 2008-2 guys, 4 hrs, 2009 and 2011-2 guys, 2 hrs,.","2006 and 2007-$350. 2008-$390, 2009, 2010, 2011 and 2012-$480, 2013-$520.",,
513,Export Development Canada,151 O'Connor Street,George Brown,(613) 598-3041,,(613) 598-3142,,gebrown@edc.ca,,,151 O'Connor Street,Ottawa,Ontario,K1A 1K3,,"151 O'Connor, 251 Laurier",,,FALSE,George Brown,(613) 598-3041,,AI,"$2,985.00",,11-1153,,"MOVED TO NEW BLDG.. FA-EPO Shut Down, Special Ext Unit, FE. Wk-ends only","BS required to be on site. 2010-$2900, 2011-$2985.","9th Fl, PBX Rm and Computer Rm at 151 O'Connor and 6th Fl, PBX Rm at 251 Laurier",,
238,Export Development Canada,151 O'Connor Street,George Brown,(613) 598-3041,,(613) 598-3142,,gebrown@edc.ca,,,151 O'Connor Street,Ottawa,Ontario,K1A 1K3,,151 O'Connor/251 Laurier,,,FALSE,George Brown,(613) 598-3041,,SAI,"$2,985.00",,11-1153,,"MOVED TO NEW BLDG. FA-EPO Shut Down, Special Ext.Sys. FE wk-ends only","2 insps 8 hrs S-AI at 151 O'Connor is 9TH FL. PBX RM, CONDENSER RM, LAB RM, & COMPUTER RM./// 251 LAURIER IS 6TH FL. PBX RM ONLY. 2010-$2900, 2011-$2985.","9th Fl, PBX Rm and Computer Rm at 151 O'Connor and 6th Fl, PBX Rm at 251 Laurier",,
2104,Symphony Senior Living Memory Care,1510 St. Joseph Blvd.,Jessy Staniszewski,(613) 830-4000,203,,(613) 290-4058,,,,1510 St. Joseph Blvd.,Ottawa,Ontario,K1C 7L1,,1510 St. Joseph Blvd.,,,TRUE,Pierre Metayer,(613) 290-4081,,MI/QI,$0.00,,"Apr 17, 2019",,"FA, 4"" Wet x 1, AND 4"" Dry x 1","Cancelled in Feb 2020 AI in July. May 1,19 to April 30, 2020. Total contract $4519 = 12 equal payments = $376.08 per month. QI in May, Oct and SAI in Jan.",edforestvalley@symphonyseniorliving.com and bscforestvalley@symphonyseniorliving.com,,
2103,Symphony Senior Living Memory Care,1510 St. Joseph Blvd.,Jessy Staniszewski,(613) 830-4000,203,,(613) 290-4058,,,,1510 St. Joseph Blvd.,Ottawa,Ontario,K1C 7L1,,1510 St. Joseph Blvd.,,,TRUE,Pierre Metayer,(613) 290-4081,,AI,$0.00,,"Apr 17, 2019",,"FA, 4"" Wet x 1, 4"" Dry x 1, Hyd x 2, FLCS, ELU and FE","Cancelled in Feb 2020 Bells 10AM. May 1,19 to April 30, 2020. Total contract $4519 = 12 equal payments = $376.08 per month. 2019-dm/ca-3 days",edforestvalley@symphonyseniorliving.com and bscforestvalley@symphonyseniorliving.com,,
